"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Raley, Brooks",548384,"NYM","ST","Sweeper",3,11,"356",36.3,"96","0.174","0.217","0.203",33.7,40.6,22.7,"0.173","0.226","0.195",13.2
"Gott, Trevor",641627,"NYM","FC","Cutter",-1.1,-4,"382",39.1,"96","0.247","0.398","0.318",26.4,24,29.1,"0.232","0.355","0.266",31.4
"Cabrera, Génesis",650893,"TOR","FF","4-Seamer",-0.5,-2,"342",36.2,"96","0.224","0.482","0.341",20.3,25,20.9,"0.229","0.458","0.336",47.5
"Moran, Jovani",663558,"MIN","CH","Changeup",0.6,2,"354",47.2,"96","0.156","0.278","0.22",50.9,34.4,31.4,"0.147","0.246","0.204",19
"López, Pablo",641154,"MIN","CUKC","Curveball",-0.1,0,"377",12.5,"96","0.202","0.33","0.245",36.4,40.6,24.1,"0.205","0.327","0.245",36.4
"Nola, Aaron",605400,"PHI","CH","Changeup",-0.3,-1,"390",12.6,"96","0.22","0.319","0.295",31.9,26,21.2,"0.251","0.367","0.289",36.4
"Duran, Jhoan",661395,"MIN","FF","4-Seamer",1.1,5,"457",44.9,"96","0.212","0.375","0.313",35.8,30.2,20,"0.219","0.359","0.311",40.7
"Rea, Colin",607067,"MIL","FF","4-Seamer",1.9,7,"388",19.2,"96","0.135","0.27","0.196",26.6,40.6,23.6,"0.201","0.418","0.282",50
"Bido, Osvaldo",674370,"PIT","SL","Slider",-0.1,0,"332",35.3,"96","0.238","0.345","0.303",20.9,17.7,13,"0.257","0.329","0.299",34.8
"Miller, Bryce",682243,"SEA","SL","Slider",0.9,3,"397",18.9,"96","0.202","0.337","0.245",24.4,26,15.9,"0.252","0.432","0.314",47.8
"Leone, Dominic",608678,"SEA","FF","4-Seamer",0.7,2,"333",37.6,"96","0.195","0.532","0.356",26.3,26,24,"0.211","0.505","0.366",50.9
"Morgan, Eli",669212,"CLE","FF","4-Seamer",-0.3,-1,"481",40.1,"96","0.317","0.561","0.421",20.9,17.7,13.5,"0.283","0.557","0.404",46.2
"Yarbrough, Ryan",642232,"LAD","SIFT","Sinker",0.5,2,"441",31,"95","0.28","0.366","0.31",12.6,15.8,12.6,"0.277","0.421","0.31",32.1
"Ramírez, Erasmo",541640,"TB","SIFT","Sinker",-3.3,-9,"282",29.3,"95","0.379","0.609","0.452",10.5,9.5,12.3,"0.353","0.601","0.416",52.5
"López, Jorge",605347,"BAL","SIFT","Sinker",-1.1,-4,"327",33.9,"95","0.305","0.5","0.383",11.2,7.4,12.1,"0.285","0.431","0.354",53.2
