called strikes + whiffs,player_id,player_name,pitch_type,total_pitches,csw_percent,whiffs,called strikes
52,656232,"Bielak, Brandon",SL,164,31.7,22,30
51,686294,"Willingham, Amos",SL,161,31.7,36,15
96,622663,"Severino, Luis",SL,303,31.7,34,62
204,666129,"Garrett, Braxton",SL,643,31.7,137,67
160,672710,"Contreras, Roansy",SL,505,31.7,101,59
48,592773,"Stanek, Ryne",SL,152,31.6,24,24
199,676440,"Bibee, Tanner",SL,629,31.6,99,100
94,608665,"Graveman, Kendall",SL,298,31.5,53,41
45,622772,"Cordero, Jimmy",SL,143,31.5,25,20
67,571670,"Floro, Dylan",SL,213,31.5,33,34
47,663804,"Kowar, Jackson",SL,149,31.5,23,24
211,657277,"Webb, Logan",SL,673,31.4,68,143
82,669203,"Burnes, Corbin",SL,261,31.4,55,27
40,676710,"Crawford, Kutter",SL,128,31.3,34,6
55,663878,"Pearson, Nate",SL,176,31.3,21,34
85,663986,"Stephan, Trevor",SL,272,31.3,34,51
96,650911,"Sánchez, Cristopher",SL,308,31.2,44,52
53,593958,"Rodriguez, Eduardo",SL,170,31.2,30,23
47,667427,"Jackson, Zach",SL,151,31.1,20,27
124,607179,"Weems, Jordan",SL,399,31.1,48,76
116,666159,"Manning, Matt",SL,373,31.1,48,68
82,641871,"Middleton, Keynan",SL,264,31.1,41,41
51,661309,"Martínez, Adrián",SL,164,31.1,28,23
53,663947,"Holton, Tyler",SL,171,31,28,25
278,608337,"Giolito, Lucas",SL,901,30.9,142,136
33,663362,"Waldron, Matt",SL,107,30.8,11,22
41,679525,"Marsh, Alec",SL,133,30.8,27,14
254,680694,"Bradish, Kyle",SL,824,30.8,148,106
64,682120,"Herrin, Tim",SL,208,30.8,33,31
50,668674,"Erceg, Lucas",SL,163,30.7,16,34
264,664299,"Javier, Cristian",SL,864,30.6,90,174
313,571578,"Corbin, Patrick",SL,1024,30.6,186,127
102,571510,"Boyd, Matthew",SL,334,30.5,47,55
211,680686,"Gray, Josiah",SL,693,30.4,116,95
107,676664,"Sears, JP",SL,352,30.4,53,54
31,669395,"Coleman, Dylan",SL,102,30.4,11,20
84,659275,"Lamet, Dinelson",SL,277,30.3,49,35
135,622072,"Wood, Alex",SL,446,30.3,54,81
49,689266,"Dodd, Dylan",SL,162,30.2,22,27
64,607237,"Garrett, Amir",SL,212,30.2,38,26
93,669212,"Morgan, Eli",SL,309,30.1,56,37
31,663385,"Smith, Chad",SL,103,30.1,15,16
31,686539,"Cronin, Declan",SL,103,30.1,10,21
135,669022,"Gore, MacKenzie",SL,449,30.1,81,54
220,579328,"Kikuchi, Yusei",SL,731,30.1,133,87
98,607074,"Rodón, Carlos",SL,327,30,58,40
127,453268,"Bard, Daniel",SL,423,30,50,77
92,605288,"Houser, Adrian",SL,308,29.9,38,54
73,663372,"Feltner, Ryan",SL,244,29.9,17,56
92,670167,"Schreiber, John",SL,308,29.9,29,63
64,571479,"Bellatti, Andrew",SL,215,29.8,45,19
56,680739,"Winder, Josh",SL,190,29.5,28,28
109,656849,"Peterson, David",SL,371,29.4,80,29
53,641755,"Kinley, Tyler",SL,180,29.4,31,22
235,672282,"Detmers, Reid",SL,803,29.3,157,78
87,680570,"Rodriguez, Grayson",SL,297,29.3,47,40
83,694363,"Shuster, Jared",SL,283,29.3,36,47
134,641927,"Ober, Bailey",SL,457,29.3,68,66
61,641745,"Keller, Brad",SL,209,29.2,24,37
33,676130,"Butto, José",SL,113,29.2,21,12
86,672578,"Hernández, Carlos",SL,295,29.2,58,28
79,621016,"Cuas, Jose",SL,271,29.2,54,25
191,571760,"Heaney, Andrew",SL,655,29.2,99,92
167,605182,"Clevinger, Mike",SL,572,29.2,81,86
89,663567,"Lambert, Peter",SL,306,29.1,31,58
48,571882,"Law, Derek",SL,165,29.1,31,17
105,663773,"Hoeing, Bryan",SL,361,29.1,54,51
123,641712,"Hudson, Dakota",SL,423,29.1,79,44
88,621383,"Banks, Tanner",SL,302,29.1,40,48
74,666168,"Thompson, Mason",SL,255,29,41,33
45,518876,"Kelly, Merrill",SL,155,29,33,12
123,548389,"Stripling, Ross",SL,424,29,34,89
318,663903,"Singer, Brady",SL,1098,29,201,117
124,641793,"Littell, Zack",SL,428,29,41,83
191,434378,"Verlander, Justin",SL,658,29,100,91
263,657006,"Steele, Justin",SL,908,29,147,116
40,666974,"Cano, Yennier",SL,139,28.8,20,20
35,660825,"Bazardo, Eduard",SL,122,28.7,20,15
84,656061,"Abreu, Albert",SL,293,28.7,52,32
196,642545,"Barria, Jaime",SL,684,28.7,88,108
181,641540,"Dunning, Dane",SL,630,28.7,111,70
52,681402,"Varland, Gus",SL,181,28.7,26,26
56,570632,"Ureña, José",SL,196,28.6,32,24
33,686654,"Adcock, Ty",SL,116,28.4,17,16
129,656464,"Ginkel, Kevin",SL,454,28.4,93,36
83,608638,"Chargois, JT",SL,292,28.4,38,45
32,677944,"Cecconi, Slade",SL,113,28.3,18,14
40,594577,"Mayers, Mike",SL,142,28.2,19,21
134,657756,"Seabold, Connor",SL,476,28.2,64,70
84,681982,"Anderson, Grant",SL,299,28.1,29,55
36,595928,"Curtiss, John",SL,128,28.1,21,15
45,673540,"Senga, Kodai",SL,161,28,29,16
51,663462,"Campbell, Isaiah",SL,182,28,27,24
31,502202,"Boxberger, Brad",SL,111,27.9,15,16
63,660813,"Graterol, Brusdar",SL,226,27.9,32,31
63,665871,"Assad, Javier",SL,226,27.9,35,28
102,592426,"Jackson, Luke",SL,367,27.8,54,48
180,656427,"Flaherty, Jack",SL,647,27.8,85,95
59,502085,"Robertson, David",SL,212,27.8,35,24
112,669456,"Bieber, Shane",SL,403,27.8,73,39
133,682847,"Ortiz, Luis L.",SL,478,27.8,68,65
190,543037,"Cole, Gerrit",SL,683,27.8,112,78
97,472610,"García, Luis",SL,349,27.8,61,36
49,674072,"Henry, Tommy",SL,177,27.7,29,20
99,661403,"Clase, Emmanuel",SL,358,27.7,60,39
47,656578,"Jackson, Andre",SL,170,27.6,13,34
132,543859,"Tonkin, Michael",SL,478,27.6,65,67
67,686747,"La Sorsa, Joe",SL,244,27.5,42,25
44,605463,"Scott, Tayler",SL,160,27.5,21,23
42,622780,"Perdomo, Angel",SL,153,27.5,20,22
148,675540,"Curry, Xzavion",SL,539,27.5,64,84
100,605154,"Brebbia, John",SL,364,27.5,44,56
37,669461,"Liberatore, Matthew",SL,135,27.4,18,19
87,518489,"Brasier, Ryan",SL,319,27.3,59,28
41,668676,"Plesac, Zach",SL,151,27.2,24,17
72,601713,"Pivetta, Nick",SL,265,27.2,44,28
55,456501,"Cueto, Johnny",SL,202,27.2,12,43
61,670174,"Winckowski, Josh",SL,224,27.2,35,26
28,666720,"Rodríguez, Yerry",SL,103,27.2,21,7
43,623474,"Herget, Jimmy",SL,158,27.2,11,32
184,663776,"Sandoval, Patrick",SL,681,27,102,82
78,669194,"Nelson, Ryne",SL,291,26.8,36,42
100,656353,"Davidson, Tucker",SL,375,26.7,46,54
111,605483,"Snell, Blake",SL,416,26.7,90,21
33,605513,"Turnbull, Spencer",SL,124,26.6,15,18
174,656629,"Kopech, Michael",SL,660,26.4,82,92
46,682010,"Ramsey, Lane",SL,174,26.4,22,24
204,571945,"Mikolas, Miles",SL,776,26.3,85,119
57,607625,"Lugo, Seth",SL,217,26.3,21,36
32,657746,"Ryan, Joe",SL,122,26.2,14,18
59,622098,"Smith, Drew",SL,226,26.1,30,29
49,687396,"Headrick, Brent",SL,188,26.1,31,18
57,683769,"Gaddis, Hunter",SL,218,26.1,18,39
85,676272,"Miller, Bobby",SL,327,26,47,38
58,657508,"Baumann, Mike",SL,223,26,29,29
147,607536,"Freeland, Kyle",SL,570,25.8,59,88
27,669952,"White, Mitch",SL,105,25.7,13,14
37,657031,"Taylor, Josh",SL,144,25.7,29,8
40,543766,"Shaw, Bryan",SL,156,25.6,27,13
44,621295,"Wittgren, Nick",SL,172,25.6,14,30
78,640455,"Manaea, Sean",SL,305,25.6,37,41
104,592866,"Williams, Trevor",SL,407,25.6,34,70
51,669467,"Pallante, Andre",SL,199,25.6,26,25
51,668970,"Hollowell, Gavin",SL,200,25.5,24,27
64,669373,"Skubal, Tarik",SL,251,25.5,30,34
94,666205,"Muller, Kyle",SL,368,25.5,53,41
51,543507,"May, Trevor",SL,201,25.4,4,47
66,681911,"Vesia, Alex",SL,260,25.4,39,27
110,596295,"Gomber, Austin",SL,433,25.4,57,53
109,663941,"Beck, Tristan",SL,430,25.3,53,56
72,643493,"Pruitt, Austin",SL,286,25.2,35,37
161,686613,"Brown, Hunter",SL,638,25.2,65,96
116,678394,"Bello, Brayan",SL,463,25.1,44,72
69,669684,"Murphy, Chris",SL,276,25,36,33
115,656731,"Megill, Tylor",SL,460,25,70,45
85,621112,"Blackburn, Paul",SL,340,25,65,20
44,606160,"Montero, Rafael",SL,176,25,21,23
88,625643,"López, Reynaldo",SL,353,24.9,65,23
131,669947,"Scholtens, Jesse",SL,529,24.8,57,74
64,676684,"Vest, Will",SL,260,24.6,33,31
31,676395,"Garcia, Robert",SL,126,24.6,13,18
124,666201,"Manoah, Alek",SL,507,24.5,64,60
109,425844,"Greinke, Zack",SL,444,24.5,52,57
33,608331,"Fried, Max",SL,135,24.4,14,19
97,682243,"Miller, Bryce",SL,397,24.4,48,49
26,571946,"Miller, Shelby",SL,107,24.3,9,17
28,593974,"Peralta, Wandy",SL,115,24.3,15,13
74,664062,"Gonsolin, Tony",SL,304,24.3,43,31
31,693433,"Woo, Bryan",SL,128,24.2,19,12
51,661440,"Llovera, Mauricio",SL,211,24.2,29,22
42,570666,"Cessa, Luis",SL,174,24.1,8,34
58,596133,"Weaver, Luke",SL,242,24,18,40
63,672335,"Pérez, Cionel",SL,262,24,29,34
79,641360,"Bickford, Phil",SL,331,23.9,48,31
32,640451,"Harvey, Hunter",SL,134,23.9,14,18
35,605135,"Bassitt, Chris",SL,147,23.8,13,22
79,674370,"Bido, Osvaldo",SL,332,23.8,37,42
36,663738,"Lynch IV, Daniel",SL,152,23.7,21,15
24,600921,"Machado, Andrés",SL,102,23.5,9,15
27,686826,"Jarvis, Bryce",SL,115,23.5,14,13
73,669330,"Wells, Tyler",SL,312,23.4,37,36
26,668678,"Gallen, Zac",SL,111,23.4,14,12
25,643256,"Cimber, Adam",SL,108,23.1,6,19
25,666721,"Castillo, Max",SL,108,23.1,11,14
42,671345,"Foley, Jason",SL,182,23.1,17,25
44,458681,"Lynn, Lance",SL,193,22.8,28,16
43,641835,"Mayza, Tim",SL,190,22.6,23,20
34,674003,"Bradford, Cody",SL,151,22.5,9,25
25,641816,"Mahle, Tyler",SL,111,22.5,13,12
23,689225,"Brieske, Beau",SL,102,22.5,10,13
55,663559,"Falter, Bailey",SL,246,22.4,28,27
25,672715,"Patiño, Luis",SL,112,22.3,12,13
23,650960,"Duarte, Daniel",SL,104,22.1,11,12
27,621074,"Rucker, Michael",SL,124,21.8,25,2
75,630023,"Chirinos, Yonny",SL,346,21.7,23,52
27,621368,"Hearn, Taylor",SL,125,21.6,16,11
24,650644,"Civale, Aaron",SL,113,21.2,13,11
96,554430,"Wheeler, Zack",SL,455,21.1,54,42
33,592229,"Covey, Dylan",SL,160,20.6,15,18
23,573186,"Stroman, Marcus",SL,115,20,19,4
24,608718,"Suter, Brent",SL,122,19.7,7,17
23,623167,"Flexen, Chris",SL,119,19.3,15,8
20,672851,"Adon, Joan",SL,104,19.2,12,8
31,672582,"Zerpa, Angel",SL,169,18.3,21,10
26,686973,"Varland, Louie",SL,143,18.2,19,7
19,700363,"Smith-Shawver, AJ",SL,106,17.9,13,6
41,608717,"Stratton, Chris",SL,262,15.6,22,19
,,,SL,,,,
,,,SL,,,,
