"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Hicks, Jordan","663855","R","ST","211","86.7","2575","13.4",0.5796401662271788,0.4443352872044378,56.08011972431859,85.03488212992445,"Sweeper","44","255","195",-28.954762405605862,28.954762405605873,"60",4,15,3,15,1,0,"4:15","3:15","+1H 00M"
,"Springs, Jeffrey","605488","L","ST","26","79.2","2341","15.6",0.6677380693131714,0.44441220192274494,288.5601953785252,261.6163489043224,"Sweeper","44","510","555",26.943846474202758,26.943846474202783,"-45",8,30,9,15,0,45,"8:30","9:15","-0H 45M"
,"France, J.P.","641585","R","ST","199","80.1","2634","16.6",0.6868421827163965,0.553160881681488,64.66635867837478,80.86358949253224,"Sweeper","55","225","195",-16.197230814157464,16.197230814157454,"30",3,45,3,15,0,30,"3:45","3:15","+0H 30M"
,"Jax, Griffin","643377","R","ST","548","86.7","2960","15.8",0.6542248810953694,0.5267371154773094,43.49942686348055,65.88257744521049,"Sweeper","53","270","225",-22.383150581729936,22.383150581729943,"45",4,30,3,45,0,45,"4:30","3:45","+0H 45M"
,"Eflin, Zach","621107","R","ST","102","79.7","2479","17.9",0.7497536112668253,0.6180830271687535,64.190183371483,84.70159543858033,"Sweeper","62","225","195",-20.511412067097325,20.511412067097318,"30",3,45,3,15,0,30,"3:45","3:15","+0H 30M"
,"Borucki, Ryan","621366","L","ST","72","82.4","2454","13.1",0.5744175931341059,0.3841758360405039,291.12433352380145,269.9310414753748,"Sweeper","38","495","540",21.193292048426656,21.193292048426667,"-45",8,15,9,0,0,45,"8:15","9:00","-0H 45M"
,"Legumina, Casey","668984","R","ST","27","80.4","2638","11.7",0.4875791215763093,0.4849803403970128,96.48397122662915,99.27326704291498,"Sweeper","48","165","165",-2.7892958162858292,2.7892958162858377,"0",2,45,2,45,0,0,"2:45","2:45"," 0H 00M"
,"Sears, JP","676664","L","ST","619","81.1","2484","11.4",0.4840338410876718,0.2686320607484605,257.10867812041676,247.5389954193107,"Sweeper","27","570","585",9.569682701106046,9.569682701106085,"-15",9,30,9,45,0,15,"9:30","9:45","-0H 15M"
,"Fulmer, Michael","605242","R","ST","266","83.2","2727","17.8",0.7494891542531447,0.662497434788405,64.24116436460845,77.37650301032512,"Sweeper","66","225","210",-13.135338645716672,13.135338645716669,"15",3,45,3,30,0,15,"3:45","3:30","+0H 15M"
,"Flexen, Chris","623167","R","ST","52","79.3","2494","17.3",0.6966098703626007,0.4902239932402466,43.06983969510861,71.85280246213745,"Sweeper","49","270","210",-28.782962767028835,28.78296276702883,"60",4,30,3,30,1,0,"4:30","3:30","+1H 00M"
