called strikes + whiffs,player_id,player_name,pitch_type,total_pitches,csw_percent,whiffs,called strikes
98,681911,"Vesia, Alex",SL,308,31.8,53,45
289,596001,"Junis, Jakob",SL,910,31.8,109,180
113,592761,"Smith, Caleb",SL,357,31.7,62,51
85,669424,"Lambert, Jimmy",SL,270,31.5,43,42
39,605347,"López, Jorge",SL,124,31.5,23,16
167,650895,"Castillo, Diego",SL,531,31.5,89,78
64,656458,"Gilbreath, Lucas",SL,204,31.4,34,30
77,502202,"Boxberger, Brad",SL,245,31.4,22,55
87,622098,"Smith, Drew",SL,277,31.4,49,38
164,668676,"Plesac, Zach",SL,523,31.4,114,50
164,592791,"Taillon, Jameson",SL,523,31.4,71,93
37,677053,"Nardi, Andrew",SL,118,31.4,23,14
37,676050,"Naughton, Packy",SL,118,31.4,15,22
195,607536,"Freeland, Kyle",SL,624,31.3,78,117
40,608638,"Chargois, JT",SL,128,31.3,23,17
45,605463,"Scott, Tayler",SL,144,31.3,20,25
251,622072,"Wood, Alex",SL,805,31.2,118,133
223,663776,"Sandoval, Patrick",SL,715,31.2,137,86
132,518489,"Brasier, Ryan",SL,423,31.2,69,63
79,621016,"Cuas, Jose",SL,253,31.2,47,32
37,669395,"Coleman, Dylan",SL,119,31.1,21,16
73,693821,"Elder, Bryce",SL,235,31.1,37,36
36,643316,"Fry, Paul",SL,116,31,11,25
228,434378,"Verlander, Justin",SL,738,30.9,142,86
50,641447,"Castano, Daniel",SL,162,30.9,19,31
94,571710,"Givens, Mychal",SL,304,30.9,34,60
55,592390,"Hembree, Heath",SL,178,30.9,20,35
166,643511,"Rogers, Tyler",SL,537,30.9,63,103
68,468504,"Chacín, Jhoulys",SL,221,30.8,29,39
221,663738,"Lynch IV, Daniel",SL,720,30.7,129,92
54,672391,"Ort, Kaleb",SL,176,30.7,26,28
55,660787,"De Los Santos, Yerry",SL,179,30.7,28,27
46,656529,"Hentges, Sam",SL,150,30.7,24,22
49,605195,"Crick, Kyle",SL,160,30.6,21,28
82,592716,"Sampson, Adrian",SL,268,30.6,37,45
39,593974,"Peralta, Wandy",SL,128,30.5,30,9
95,664199,"Clarke, Taylor",SL,311,30.5,59,36
63,503449,"Peralta, Wily",SL,207,30.4,17,46
87,605540,"Woodruff, Brandon",SL,286,30.4,51,36
345,592662,"Ray, Robbie",SL,1134,30.4,228,117
41,596082,"Reed, Jake",SL,135,30.4,19,22
73,641816,"Mahle, Tyler",SL,240,30.4,33,40
161,642545,"Barria, Jaime",SL,529,30.4,66,95
94,594577,"Mayers, Mike",SL,310,30.3,48,46
298,657277,"Webb, Logan",SL,982,30.3,132,166
57,571670,"Floro, Dylan",SL,189,30.2,31,26
53,670059,"Holderman, Colin",SL,176,30.1,32,21
50,592773,"Stanek, Ryne",SL,166,30.1,14,36
51,594311,"Gustave, Jandel",SL,170,30,14,37
32,621112,"Blackburn, Paul",SL,107,29.9,18,14
99,572193,"Tepera, Ryan",SL,331,29.9,70,29
99,669618,"Barlow, Joe",SL,333,29.7,54,45
79,572070,"Richards, Garrett",SL,267,29.6,48,31
202,605538,"Wisler, Matt",SL,684,29.5,87,115
31,518748,"Grimm, Justin",SL,105,29.5,13,18
67,676265,"Abbott, Cory",SL,227,29.5,39,28
33,681217,"Silseth, Chase",SL,112,29.5,18,15
50,543339,"Hudson, Daniel",SL,170,29.4,36,14
154,672282,"Detmers, Reid",SL,523,29.4,87,67
36,621111,"Buehler, Walker",SL,123,29.3,28,8
110,669459,"Nelson, Kyle",SL,376,29.3,63,47
36,543507,"May, Trevor",SL,123,29.3,10,26
44,661269,"Gutierrez, Vladimir",SL,150,29.3,20,24
117,592332,"Gausman, Kevin",SL,400,29.3,57,60
49,425844,"Greinke, Zack",SL,168,29.2,20,29
130,663372,"Feltner, Ryan",SL,446,29.1,49,81
132,607237,"Garrett, Amir",SL,454,29.1,70,62
85,669912,"Snead, Kirby",SL,292,29.1,37,48
48,554431,"Matzek, Tyler",SL,165,29.1,28,20
61,656986,"Sousa, Bennett",SL,210,29,34,27
97,672335,"Pérez, Cionel",SL,334,29,44,53
38,660730,"Rodriguez, Elvin",SL,131,29,16,22
65,605135,"Bassitt, Chris",SL,224,29,22,43
116,656353,"Davidson, Tucker",SL,401,28.9,61,55
223,571578,"Corbin, Patrick",SL,771,28.9,129,94
91,641360,"Bickford, Phil",SL,316,28.8,40,51
34,621248,"Garza Jr., Ralph",SL,118,28.8,17,17
170,669373,"Skubal, Tarik",SL,591,28.8,74,96
97,670174,"Winckowski, Josh",SL,337,28.8,39,58
33,617228,"Sawamura, Hirokazu",SL,115,28.7,21,12
37,660813,"Graterol, Brusdar",SL,129,28.7,31,6
226,641745,"Keller, Brad",SL,789,28.6,113,113
